size.bin.start	size.bin.end	estimate	p.value	conf.low	conf.high	method	alternative	case.above	case.below	control.above	control.below	cut.off
27000	28000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
28000	29000	Inf	0.2	0.203128839526148	Inf	Fisher's Exact Test for Count Data	greater	3	0	1	2	6
29000	30000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	1	0	1	11
30000	31000	Inf	0.666666666666667	0.0128359375	Inf	Fisher's Exact Test for Count Data	greater	1	0	1	1	3
31000	32000	Inf	0.5	0.0256406640625	Inf	Fisher's Exact Test for Count Data	greater	1	0	0	1	2
32000	33000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
33000	34000	0	1	0	116.788321167883	Fisher's Exact Test for Count Data	greater	0	1	1	2	5
34000	35000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	1	1	11
35000	36000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	7
36000	37000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
37000	38000	Inf	0.5	0.0256406640625	Inf	Fisher's Exact Test for Count Data	greater	1	0	0	1	12
38000	39000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	1	0	1	9
39000	40000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
40000	41000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
41000	42000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	12
42000	43000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
43000	44000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
44000	45000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
45000	46000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	8
46000	47000	Inf	0.5	0.0256406640625	Inf	Fisher's Exact Test for Count Data	greater	1	0	0	1	4
47000	48000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
48000	49000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	12
49000	50000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
50000	51000	Inf	0.5	0.0256406640625	Inf	Fisher's Exact Test for Count Data	greater	1	0	1	2	8
51000	52000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
52000	53000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
53000	54000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	2	0	1	12
54000	55000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
55000	56000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
56000	57000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	5
57000	58000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
58000	59000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
59000	60000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	5
60000	61000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	16
61000	62000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
62000	63000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
63000	64000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
64000	65000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
65000	66000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	14
66000	67000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
67000	68000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
68000	69000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
69000	70000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
70000	71000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
71000	72000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
72000	73000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
73000	74000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	1	0	1	44
74000	75000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
75000	76000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
76000	77000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
77000	78000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
78000	79000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
79000	80000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
80000	81000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	1	0	1	10
81000	82000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
82000	83000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	1	0	1	13
83000	84000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	20
84000	85000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
85000	86000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
86000	87000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
87000	88000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
88000	89000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
89000	90000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
90000	91000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
91000	92000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
92000	93000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
93000	94000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
94000	95000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
95000	96000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
96000	97000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
97000	98000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
98000	99000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
99000	1e+05	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
1e+05	101000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
101000	102000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
102000	103000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
103000	104000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
104000	105000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
105000	106000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
106000	107000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
107000	108000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
108000	109000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
109000	110000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
110000	111000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
111000	112000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
112000	113000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
113000	114000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
