size.bin.start	size.bin.end	estimate	p.value	conf.low	conf.high	method	alternative	case.above	case.below	control.above	control.below	cut.off
0	2500	1.01746532137696	0.410016686938782	0.890069035567829	1.16199696009046	Fisher's Exact Test for Count Data	greater	413	1898	796	3722	0
2500	5000	0.799279339935009	0.953263904746793	0.599999335768363	1.05975554066031	Fisher's Exact Test for Count Data	greater	94	378	206	662	1
5000	7500	0.947694724443353	0.639267079764833	0.613338109552126	1.45137278755397	Fisher's Exact Test for Count Data	greater	45	151	89	283	2
7500	10000	1.18948916682807	0.332871460902643	0.62940513397365	2.2314874057477	Fisher's Exact Test for Count Data	greater	27	55	40	97	2
10000	12500	0.906241524870651	0.669425701135328	0.367825131125531	2.16084638379311	Fisher's Exact Test for Count Data	greater	12	53	19	76	4
12500	15000	0.575473165447968	0.870260257117448	0.0918912562373996	2.57095562236421	Fisher's Exact Test for Count Data	greater	3	21	10	40	3
15000	17500	1.06966422651603	0.59406298509367	0.213594948393987	5.04936717822134	Fisher's Exact Test for Count Data	greater	5	12	7	18	4
17500	20000	0.73205819221836	0.794466403162055	0.0118209074754566	11.5928721885161	Fisher's Exact Test for Count Data	greater	1	3	6	13	5.6
20000	22500	0	1	0	2.93892859913463	Fisher's Exact Test for Count Data	greater	0	7	4	10	7.1
22500	25000	2.40193354491098	0.260230179028133	0.340757137810576	18.8069825977954	Fisher's Exact Test for Count Data	greater	5	4	5	10	4.8
25000	27500	1.4413521389477	0.666666666666666	0.049269056497594	117.477921529962	Fisher's Exact Test for Count Data	greater	2	4	1	3	5.1
27500	30000	2.60168293600482	0.5	0.0788058259602185	234.450850029493	Fisher's Exact Test for Count Data	greater	2	2	1	3	8.3
30000	32500	Inf	0.3	0.121578311879843	Inf	Fisher's Exact Test for Count Data	greater	2	0	1	2	3.6
32500	35000	0	1	0	77.9062690200851	Fisher's Exact Test for Count Data	greater	0	1	2	3	12.8
35000	37500	0	1	0	77.9062690200851	Fisher's Exact Test for Count Data	greater	0	1	1	1	10.5
37500	40000	Inf	0.75	0.00856250000000001	Inf	Fisher's Exact Test for Count Data	greater	1	2	0	1	9
40000	42500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	12
42500	45000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
45000	47500	0	1	0	39.0005499686929	Fisher's Exact Test for Count Data	greater	0	2	1	1	6.8
47500	50000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	12
50000	52500	Inf	0.3	0.121578311879843	Inf	Fisher's Exact Test for Count Data	greater	2	0	1	2	9.6
52500	55000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	2	0	1	12
55000	57500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	5
57500	60000	Inf	0.5	0.0256406640625	Inf	Fisher's Exact Test for Count Data	greater	1	0	0	1	5
