size.bin.start	size.bin.end	estimate	p.value	conf.low	conf.high	method	alternative	case.above	case.below	control.above	control.below	cut.off
59000	60000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
60000	61000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	16
61000	62000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
62000	63000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
63000	64000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
64000	65000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
65000	66000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
66000	67000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
67000	68000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
68000	69000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
69000	70000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
70000	71000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
71000	72000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
72000	73000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
73000	74000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	1	0	1	44
74000	75000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
75000	76000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
76000	77000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
77000	78000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
78000	79000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
79000	80000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
80000	81000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	1	0	1	10
81000	82000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
82000	83000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	1	0	1	13
83000	84000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	20
84000	85000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
85000	86000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
86000	87000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
