size.bin.start	size.bin.end	estimate	p.value	conf.low	conf.high	method	alternative	case.above	case.below	control.above	control.below	cut.off
0	2500	1.03212477808553	0.459149068410618	0.719886471665044	1.46648102983001	Fisher's Exact Test for Count Data	greater	54	974	99	1843	1
2500	5000	1.17274048572877	0.422640034769578	0.466248079704264	2.80966658489569	Fisher's Exact Test for Count Data	greater	10	195	16	366	3
5000	7500	0.732574805490211	0.804250801222924	0.224042451096215	2.09352218284595	Fisher's Exact Test for Count Data	greater	6	82	15	150	4
7500	10000	1.58122135497621	0.340705691003655	0.352737644763271	6.76519312043945	Fisher's Exact Test for Count Data	greater	5	32	6	61	5
10000	12500	0.57911779138908	0.848402333981662	0.00939424995127766	11.7045044495405	Fisher's Exact Test for Count Data	greater	1	27	2	31	5
12500	15000	1.49905695647342	0.513669638830101	0.11058457788085	15.1230357052165	Fisher's Exact Test for Count Data	greater	2	11	3	25	4.6
15000	17500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	10	0	8	6
17500	20000	2.32630747961411	0.516483516483516	0.028343725534261	72.3173253023578	Fisher's Exact Test for Count Data	greater	1	2	2	10	6.9
20000	22500	0	1	0	19.5000651747784	Fisher's Exact Test for Count Data	greater	0	6	1	2	8.2
22500	25000	0	1	0	77.9062690200851	Fisher's Exact Test for Count Data	greater	0	3	1	5	7.5
25000	27500	1.81006783468205	0.628571428571429	0.0469432018013122	175.846209532002	Fisher's Exact Test for Count Data	greater	2	2	1	2	5.8
27500	30000	0	1	0	58.4474885844749	Fisher's Exact Test for Count Data	greater	0	2	1	2	10
30000	32500	0	1	0	58.4474885844749	Fisher's Exact Test for Count Data	greater	0	2	1	2	5.2
32500	35000	0	1	0	155.623100303951	Fisher's Exact Test for Count Data	greater	0	1	1	3	15.4
35000	37500	0	1	0	77.9062690200851	Fisher's Exact Test for Count Data	greater	0	1	1	1	11.5
37500	40000	Inf	0.666666666666667	0.0128359375	Inf	Fisher's Exact Test for Count Data	greater	1	1	0	1	9
